CnBio_ID,CnBio_Age,CnBio_Ethnicity,CnBio_Gender,CnPrAl_Date_graduated,CnMem_1_01_Date_Joined,Days_to_membership,CnPrAl_Degree,Degree_level,CnPrAlAttrCat_1_01_Description,CnPrAlAttrCat_1_02_Description,CnPrBs_Industry,CnAdrPrf_City,CnAdrPrf_County,CnAdrPrf_State,CnAdrPrf_ContryLongDscription,CnSmryEdu_Total_Educations,CnMem_1_01_Consecutive_Years,CnMem_1_01_Standing,CnMem_1_01_Total_Years,CnMem_1_01_Last_Dropped_Date,CnMem_1_01_Cur_Expires_on,Type_membership,CnMem_1_01_AtrCat_1_01_Description,CnGf_1_01_Fnds_1_01_Description,CnGf_1_01_Apls_1_01_Ap_Description,CnGf_1_01_Pks_1_01_Package_ID,CnGf_1_01_Pks_1_01_Description,CnGf_1_01_Pks_1_01_Description,Membership_desc
20089679,30,White or Caucasian,Male,12/1/2008,12/4/2008,3,BA in Education,Bachelors,EDUC-College of Education,,,Lebanon,Warren,OH,United States,1,0,Dropped,2,1/15/2011,,Dropped,,UAAA Memberships,,ALUM_Mbr_PGrad W08,W08 - Dec08 Parent Grad Gift Campaign,E-mail Newsletter,Paid
201129836,24,White or Caucasian,Female,5/17/2014,5/22/2014,5,BA in Education,Bachelors,EDUC-College of Education,,Education,Scottsdale,Maricopa,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),"BayCats, Northern California",Bundled_offer
20122753,24,White or Caucasian,Female,5/17/2014,5/22/2014,5,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),Gift of Student Membership_UA affiliate,Bundled_offer
200931209,24,Hispanic/Latino,Female,5/17/2014,5/22/2014,5,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),Not Specified,Bundled_offer
201131013,24,White or Caucasian,Female,5/17/2014,5/22/2014,5,BA in Education,Bachelors,EDUC-College of Education,,,Glendale,Maricopa,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),"Online, not specified",Bundled_offer
201144978,24,2 or More Races,Female,5/17/2014,5/22/2014,5,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),,Bundled_offer
20097349,25,Asian,Female,5/17/2014,5/26/2014,9,BA in Education,Bachelors,EDUC-College of Education,,,Santa Monica,Los Angeles,CA,United States,1,0,Active,1,7/15/2015,2/28/2017,Annual,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),"Online, not specified",Bundled_offer
20109980,23,Hispanic/Latino,Female,5/17/2014,5/26/2014,9,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),Not Specified,Bundled_offer
201131363,23,White or Caucasian,Female,5/17/2014,5/26/2014,9,BA in Education,Bachelors,EDUC-College of Education,,,Chandler,Maricopa,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),E-mail Newsletter,Bundled_offer
201133055,24,White or Caucasian,Female,5/17/2014,5/26/2014,9,BA in Education,Bachelors,EDUC-College of Education,,,Escondido,San Diego,CA,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),,Bundled_offer
