"CnBio_ID","CnBio_Age","CnBio_Ethnicity","CnBio_Gender","CnPrAl_Date_graduated","CnMem_1_01_Date_Joined","Days_to_membership","CnPrAl_Degree","Degree_level","CnPrAlAttrCat_1_01_Description","CnPrAlAttrCat_1_02_Description","CnPrBs_Industry","CnAdrPrf_City","CnAdrPrf_County","CnAdrPrf_State","CnAdrPrf_ContryLongDscription","CnSmryEdu_Total_Educations","CnMem_1_01_Consecutive_Years","CnMem_1_01_Standing","CnMem_1_01_Total_Years","CnMem_1_01_Last_Dropped_Date","CnMem_1_01_Cur_Expires_on","Type_membership","CnMem_1_01_AtrCat_1_01_Description","CnGf_1_01_Fnds_1_01_Description","CnGf_1_01_Apls_1_01_Ap_Description","CnGf_1_01_Pks_1_01_Package_ID","CnGf_1_01_Pks_1_01_Description","CnGf_1_01_Pks_1_01_Description.1","Membership_desc","Gdate","Gmonth","Gyear","Mdate","Mmonth","Myear","degree_full","stateF","state","Ethnicity","Age","one","Same_day","Same_classroom_same_day","surv","dtm","cens","group","GraduationPeriod","time","Gender","Same_city_members","Same_degree_year_members"
200515984,34,"Hispanic/Latino","Male","5/1/2005","9/7/2005",129,"BS in Business Admin","Bachelors","ELLER-Eller College of Management",,"Colleges & Universities","Phoenix","Maricopa","AZ","United States",2,10,"Active",10,"","","Life","","UAAA Memberships","","","","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2005-09-07,"09","2005","BS in Business Admin_ELLER-Eller College of Management","Arizona","Arizona","Hispanic",34,1,,,2005-09-07,129,1,"Active","Fall",129,"Male",0,0
200518362,32,"White or Caucasian","Female","5/1/2005","9/9/2005",131,"Bachelor of Arts","Bachelors","SBS-College of Social & Behavioral Sciences",,"","Roseville","Placer","CA","United States",1,0,"Dropped",6,"10/17/2011","","Dropped","","UAAA Memberships","","NS","Not Specified","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2005-09-09,"09","2005","Bachelor of Arts_SBS-College of Social & Behavioral Sciences","California","California","Caucasian",32,1,,,2005-09-09,131,1,"Dropped","Fall",131,"Female",0,0
200517850,32,"White or Caucasian","Female","5/1/2005","9/21/2005",143,"Bachelor of Arts","Bachelors","SBS-College of Social & Behavioral Sciences",,"","Austin","Travis","TX","United States",1,0,"Dropped",6,"10/17/2011","","Dropped","","UAAA Memberships","","ALUM_Mbr_Event(misc)","Event Mailings","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2005-09-21,"09","2005","Bachelor of Arts_SBS-College of Social & Behavioral Sciences","others","others","Caucasian",32,1,,,2005-09-21,143,1,"Dropped","Fall",143,"Female",0,1
200518136,33,"White or Caucasian","Female","5/1/2005","9/30/2005",152,"Bachelor of Arts","Bachelors","SBS-College of Social & Behavioral Sciences",,"","Tucson","Pima","AZ","United States",1,0,"Dropped",4,"10/16/2009","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2005-09-30,"09","2005","Bachelor of Arts_SBS-College of Social & Behavioral Sciences","Arizona","Arizona","Caucasian",33,1,,,2005-09-30,152,1,"Dropped","Fall",152,"Female",0,2
200517596,32,"White or Caucasian","Female","5/1/2005","10/4/2005",156,"BS in Business Admin","Bachelors","ELLER-Eller College of Management",,"","Scottsdale","Maricopa","AZ","United States",1,0,"Active",10,"6/15/2012","10/31/2017","Annual","","UAAA Memberships","","ALUM_Mbr_Event(misc)","Event Mailings","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2005-10-04,"10","2005","BS in Business Admin_ELLER-Eller College of Management","Arizona","Arizona","Caucasian",32,1,,,2005-10-04,156,1,"Active","Fall",156,"Female",0,1
200420190,33,"White or Caucasian","Male","5/1/2005","10/6/2005",158,"Bachelor of Arts","Bachelors","SBS-College of Social & Behavioral Sciences",,"Advertising & Marketing","New York","New York","NY","United States",1,10,"Active",10,"","","Life","MetroCats, New York City NY","UAAA Memberships","","NS","Not Specified","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2005-10-06,"10","2005","Bachelor of Arts_SBS-College of Social & Behavioral Sciences","others","others","Caucasian",33,1,,,2005-10-06,158,1,"Active","Fall",158,"Male",0,3
200518231,34,"White or Caucasian","Male","8/1/2005","10/18/2005",78,"BS in Business Admin","Bachelors","ELLER-Eller College of Management",,"","Tucson","Pima","AZ","United States",1,10,"Active",10,"","","Life","","UAAA Memberships","","ALUM_Mbr_Staff","Staff","Grad Fest form returns (all semesters)","Bundled_offer",2005-08-01,"Fall",2005,2005-10-18,"10","2005","BS in Business Admin_ELLER-Eller College of Management","Arizona","Arizona","Caucasian",34,1,,,2005-10-18,78,1,"Active","Fall",78,"Male",1,2
200517822,33,"White or Caucasian","Female","5/1/2005","10/18/2005",170,"BS in Nursing","Bachelors","NURS-College of Nursing",,"","Tucson","Pima","AZ","United States",2,0,"Dropped",3,"2/16/2009","","Dropped","","UAAA Memberships","","ALUM_Mbr_NBD","National Board of Directors","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2005-10-18,"10","2005","BS in Nursing_NURS-College of Nursing","Arizona","Arizona","Caucasian",33,1,,,2005-10-18,170,1,"Dropped","Fall",170,"Female",2,0
200514251,48,"Asian","Male","8/1/2005","10/20/2005",80,"BS in Nursing","Bachelors","NURS-College of Nursing",,"","San Marcos","San Diego","CA","United States",1,0,"Dropped",1,"6/12/2007","","Dropped","","","","","","Not Specified","Paid",2005-08-01,"Fall",2005,2005-10-20,"10","2005","BS in Nursing_NURS-College of Nursing","California","California","others",48,1,,,2005-10-20,80,1,"Dropped","Fall",80,"Male",0,1
200518760,33,"White or Caucasian","Female","5/1/2005","10/24/2005",176,"Bachelor of Arts","Bachelors","SBS-College of Social & Behavioral Sciences",,"","Houston","Harris","TX","United States",1,0,"Dropped",4,"11/15/2009","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2005-10-24,"10","2005","Bachelor of Arts_SBS-College of Social & Behavioral Sciences","others","others","Caucasian",33,1,,,2005-10-24,176,1,"Dropped","Fall",176,"Female",0,4
